term,pos,comment,is_case_sensitive,en,comment_en
ཀུན་དགའ་ར་བ་ བདེ་བ་ -ར་ གནས་པ་ -འི་ ལྟེང་ཀ,,place-—,yes,Ponds in Delightful Pleasure Gardens,"\nA mountain in Dwelling on Forest Riverbanks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་དགའ་ར་བ་ -འི་ རྒྱས་པ,,place-—,yes,Blooming Park,"\nA lotus pond on the fifth minor mountain on Lofty Summit.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་དགའ་ར་བ་ -འི་ སྐྱེད་མོས་ཚལ,,place-—,yes,Pleasure Grove Park,"\nA park in House of Refined Gold.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་དགའ་ ལ་ རེ་བ་ མེད་པ,,place-—,yes,No Hope of Joy,"\nOne of sixteen realms that surround the Great Howling Hell. Appears to be identical with Joyless Thought.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་དགའ་ ལེགས་ རིན,,person-—,yes,Kunga Lekrin,"\nA fifteenth century Sakya scholar, nephew of Ngorchen Kunga Zangpo.\nToh 674, Peter Alan Roberts and Emily Bower,v 1.1.3\nA fifteenth century Sakya scholar, nephew of Ngorchen Kunga Zangpo.\nToh 675, Peter Alan Roberts and Emily Bower,v 1.1.2"
ཀུན་དགའ,,person-Ānanda,yes,Ānanda,"\nThe Buddha’s nephew and attendant who recited the Buddha’s sūtra discourses from memory after the Buddha passed.\nToh 1-1, Robert Miller and team,v 1.35.7\nThe Buddha’s cousin and attendant who recited the Buddha’s sūtra discourses from memory after the Buddha passed.\nToh 163, Dharmachakra Translation Committee,v 1.0.5Ever-Joyous\nA lotus pool in Lateral.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Ever-Joyous One\nA previous ruler of the Heaven of the Thirty-Three.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Joyous\nA forest at Sudharma.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ དུ་ གསལ་བ་ -ར་ སྤྱོད་པ,,place-Āvartacarā,yes,Engaging in Clarification,"\nA realm in the Heaven of the Thirty-Three.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ དུ་ གྲགས་པ,,person-—,yes,Renowned,"\nA nāga king.\nToh 164, Tenpa Tsering,v 1.2.11"
ཀུན་ དུ་ བཟང་པོ,,person-Samantabhadra,yes,Samantabhadra,"\nA bodhisattva.\nToh 357, Dharmachakra Translation Committee,v 1.0.14"
ཀུན་ དུ་ བལྟས་པ་ -འི་ ང་རོ,,person-—,yes,Ever-Present Roar,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ དུ་ བལྟས་པ་ -འི་ བྱང་ཆུབ་ ཏུ་ ངེས་པ་ -འི་ དགེ་བ་ -འི་ རྩ་བ་ -འི་ སྙིང་སྟོབས་ ཀྱི་ གོ་ཆ་ གོས,,person-—,yes,Bearer of the Armor of Courage That Comes from Roots of Virtue Definitively Directed toward All-Seeing Buddhahood,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ དུ་ མི་ དགའ་བ,,place-Nirānanda,yes,Utterly Dreadful,"\nOne of sixteen realms that surround the Reviving Hell.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ དུ་ མིག,,person-samantacakṣu,yes,Samantacakṣu,"\nA king and sage; a former incarnation of the Buddha.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀུན་ དུ་ འབར་བ,,place-—,yes,Burning,"\nNone\nToh 145, David Jackson  under the patronage and supervision of 84000: Translating the Words of the Buddha,v 1.4.16"
ཀུན་ དུ་ རྒྱུ་ གནག་ ལྷས་ ཀྱི་ བུ,,person-Maskarī Gośālīputra,yes,Maskarī Gośālīputra,"\nOne of the six teachers at the time of the Buddha.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6Maskarin Gośālīputra\nOne of the six philosophical extremists who lived during the time of Buddha Śākyamuni. Also rendered here as “Parivrājaka Gośālīputra.”\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22Parivrājaka Gośālīputra\nSee “Maskarin Gośālīputra.”\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀུན་ དུ་ རྟོག་ བྱེད,,place-Saṅkalpakāraṇa,yes,Worrisome,"\nOne of sixteen realms that surround the Howling Hell.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ དུ་ སྤོས་ ཀྱི་ འོད་ཟེར,,person-—,yes,Radiant Incense,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ དུ་ སྦས་པ,,person-—,yes,Thoroughly Hidden,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ ཁ་དོག,,person-—,yes,Colorful,"\nA yakṣa king.\nToh 59, Dharmachakra Translation Committee,v 1.1.1"
ཀུན་ ནས་ གཟིགས་པ,,person-—,yes,Seer of All,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ གསེར་ གྱི་ ཚལ,,place-—,yes,Ever-Golden Forest,"\nA forest in Special Joy.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ གོ་ཆ,,person-—,yes,Universal Armor,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ གྲགས་པ,,person-Sahākhya,yes,Sahākhya,"\nOne of the tathāgatas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ ཆོས་ ཀྱི་ དབྱིངས་ ནམ་མཁའ་ སྣང་བ་ -འི་ ཅོད་པན,,person-—,yes,Crown That Fully Illuminates the Space of the Realm of Phenomena,"\n A bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21"
ཀུན་ ནས་ ཉོན་ མོང་བ,,term-saṃkleśa,yes,Affliction,"\nThe process of karma and affliction leading to suffering.\nToh 231, Dharmachakra Translation Committee,v 1.30.12"
ཀུན་ ནས་ ཉོན་མོངས་པ,,term-saṃkleśa,yes,Affliction,"\nNone\nToh 106, Buddhavacana Translation Group (Vienna),v 1.0.9Affliction itself\nA term referring to all the primary and secondary afflictive emotions that completely disturb the mind.\nToh 286, Alexander Csoma de Kőrös Translation Group,v 1.1.10\nThe process of karma, afflictions of the mind, and suffering.\nToh 52, Dharmachakra Translation Committee,v 1.13.12\nSaṃsāra, in being nothing but afflicted; its opposite is “purification” (vyavadāna).\nToh 61, Dharmachakra Translation Committee.,v 1.2.16"
ཀུན་ ནས་ དཔལ་ གྱི་ གཟི་བརྗིད,,person-Samanta­śrī­tejas,yes,Samanta­śrī­tejas,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ དྲི་མ་ མེད་པ,,place-—,yes,Totally Immaculate,"\nThe buddhafield of Vimalakīrtirāja.\nToh 134, Dharmachakra Translation Committee,v 2.1.2Utterly Purifying\nName of buddhafield of Buddha King of Many Arrangements.\nToh 134, Dharmachakra Translation Committee,v 2.1.2"
ཀུན་ ནས་ ཕུང་པོ,,person-Samanantarāśi,yes,Samanantarāśi,"\nOne of the uṣṇīṣa kings attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ ཕྱག,,person-Samantahastin,yes,Samantahastin,"\nOne of the bodhisattvas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ བདེ་བ,,place-—,yes,Thoroughly Enjoyable,"\nA park in Sustained by Fruition.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ བརྒྱན་པ,,place-—,yes,Thoroughly Adorned,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ བསྟེན་པ,,place-—,yes,Continuously Cultivated,"\nA lotus pond in Delighting in Flower Garlands.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ མགོན་པོ,,person-Samantanātha,yes,Samantanātha,"\nOne of the bodhisattvas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ མངོན་པར་ དགའ་བ,,person-—,yes,Thoroughly Joyous,"\nAlternative name for Thoroughly Joyous Form.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ མཐར་བྱེད་ མ,,person-Samantāntakarī,yes,Samantāntakarī,"\nOne of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ མཚན,,place-—,yes,Abundant Marks,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ མཛེས་པ,,person-—,yes,Magnificent,"\nA king.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14Suṣmā\nNone\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀུན་ ནས་ མིག,,person-—,yes,Omnipresent Eyes,"\nA bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21"
ཀུན་ ནས་ མེ་ཏོག,,person-Samantakusuma,yes,Samantakusuma,"\nThe name of a bodhisattva.\nToh 270, Dharmachakra Translation Committee,v 1.2.12\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཀུན་ ནས་ ཚལ,,place-—,yes,Grove,"\nA grove in Dwelling on Mixed Riverbanks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ ཟླུམ་པ་ -ར་ སྐྱེས་པ,,place-—,yes,Born Round,"\nAn area in Kuru.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ འདུ་བ,,term-kovidāra,yes,Orchid tree,"\nBauhinia variegata, Phaneria variegata. In other sūtras kovidāra is translated as sa brtol.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ འདྲེན་པ,,person-—,yes,Universal Guide,"\nA bodhisattva.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
ཀུན་ ནས་ འོད་ དཔལ་ གཟི་བརྗིད,,person-Samanta­prabha­śrī­tejas,yes,Samanta­prabha­śrī­tejas,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ འོད་ཟེར་ ཡོན་ཏན་ རྟག་ ཏུ་ མང་བ་ བརྒྱ་ མཚོ་ -འི་ རྒྱལ་པོ,,person-—,yes,Fully Illuminated Oceanic King of Many Hundreds of Virtues,"\nA buddha who lives in the east in a buddha realm called Elevated by Abiding in Aspiration.\nToh 59, Dharmachakra Translation Committee,v 1.1.1"
ཀུན་ ནས་ འོད,,person-Samataprabha,yes,Samataprabha,"\nThe twelfth buddha in a kalpa in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8Universal Radiance\nThe name of a celestial realm.\nToh 514, The Dharmachakra Translation Committee,v 1.1.11Ābha\nOne of the tathāgatas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16Totally Illuminated\nThe buddha realm of the buddha King of Splendor.\nToh 59, Dharmachakra Translation Committee,v 1.1.1"
ཀུན་ ནས་ ཡོངས་སུ་ རྒྱས་པ་ -འི་ དཔལ་ གྱི་ སྙིང་པོ,,place-Samanta­saṃpūrṇa­śrī­garbhā,yes,Samanta­saṃpūrṇa­śrī­garbhā,"\nA royal capital in a world in the eastern direction in a past kalpa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ རལ་པ་ མ,,person-Samantajaṭā,yes,Samantajaṭā,"\nOne of the female śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ རིན་པོ་ཆེ,,place-Samanta­ratnā,yes,Samanta­ratnā,"\nA world realm in the distant past.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ རིན་པོ་ཆེ་ -ས་ ཡང་དག་པ་ -ར་ བྲིས་པ,,place-None,yes,Painted with Many Jewels,"\nThe buddha realm in which Prince Ratnākara will attain awakening.\nToh 247, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ རྒྱལ,,person-Samantatiṣya,yes,Samantatiṣya,"\nOne of the śrāvakas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ རྒྱུན་ ཤེས་ ཀྱི་ བུ,,person-Samantatreya,yes,Samantatreya,"\nOne of the bodhisattvas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ རྣ་བ,,person-Samantakarṇa,yes,Samantakarṇa,"\nOne of the kings of the rākṣasas.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ རྣམ་པ་ -ར་ བརྒྱན་པ,,place-Samanta­vyūha,yes,Samanta­vyūha,"\nA park in South India.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ རྣམ་པ་ -ར་ སྣང་བ་ -འི་ ཅོད་པན,,person-Samanta­vairocana­mukuṭa,yes,Samanta­vairocana­mukuṭa,"\n A bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ རྫིང་ ཀུན་ དུ་ བསྐོར་བ,,place-—,yes,Encircling Pool,"\nA pool in Shaded by Garlands.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ ནས་ ལྟ་བ་ -འི་ མྱིག,,person-Samanta­darśana­netra,yes,Samanta­darśana­netra,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ ལྡང་བ,,term-paryutthāna,yes,Manifest affliction,"\nThe third stage in the development and expression of afflictions (Skt. kleśa, Tib. nyon mongs), preceded by “latent tendency” (Skt. anuśaya, Tib. bag la nyal ba) and “belief” (Skt. dṛṣṭi, Tib. lta ba smra ba).\nToh 103, Blazing Wisdom Translation Group,v 1.0.11"
ཀུན་ ནས་ སྐབས་ ཀྱི་ མཚན་ཉིད,,place-—,yes,Characterized by Opportunity,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ སྐྱེ་མཆེད,,person-Samantāyatana,yes,Samantāyatana,"\nOne of the pratyeka­buddhas attending the delivery of the MMK.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་ ནས་ སྒོ,,place-Samanta­mukha,yes,Samanta­mukha,"\nA town in the south of India.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ སྙིང་པོ,,person-Samantagarbha,yes,Samantagarbha,"\nA bodhisattva.\nToh 185, Karen Liljenberg and Ulrich Pagel,v 1.0.8"
ཀུན་ ནས་ སྣང་བ་ བཀོད་པ་ -འི་ དཔལ,,person-Samantāvabhāsa­vyūha­śrī,yes,Samantāvabhāsa­vyūha­śrī,"\nNone\nToh 68, UCSB Buddhist Studies Translation Group,v 1.0.2"
ཀུན་ ནས་ སྣང་བ་ འཕགས,,person-—,yes,Noble Illumination,"\nA bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21"
ཀུན་ ནས་ སྣང་བ,,person-—,yes,Illuminator,"\n(1) Name of tathāgata in the western buddhafield Illuminated. (2) A bodhisattva in the southeastern buddhafield Sorrowless.\nToh 147, Anne Burchardi,v 1.2.18"
ཀུན་ ནས་ སྣང་བ་ -འི་ ཏོག,,person-—,yes,Crest of Illumination,"\nA bodhisattva.\nToh 129, Dharmachakra Translation Committee,v 1.3.21"
ཀུན་ ནས་ སྣང་བ་ -འི་ དཔལ,,person-Samantāvabhāsa­ketu,yes,Samantāvabhāsa­ketu,"\nA bodhisattva present in Śrāvastī.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་ ནས་ སྣང་ ཞིང་ སྒྲིབ་པ་ མེད་པ་ -ར་ ལྟ་བ,,person-—,yes,All-Illumining and Unobstructed Gaze,"\nA bodhisattva mahāsattva present in the Buddha’s assembly.\nToh 147, Anne Burchardi,v 1.2.18"
ཀུན་ ནས་ སྤོས་ ཀྱི་ འོད་ཟེར,,person-—,yes,Radiant Incense,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ སྤོས,,place-—,yes,Permeated by Incense,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15Totally Fragrant\nThe bodhisattva Supreme Scent-Perfused Preacher when he becomes a buddha.\nToh 138, Dharmachakra Translation Committee,v 1.0.14"
ཀུན་ ནས་ སྤྱན,,person-Samantanetra,yes,Samantanetra,"\nNone\nToh 127, Peter Alan Roberts,v 1.45.16"
ཀུན་ ནས་ སྦས་པ,,person-—,yes,Utterly Hidden,"\nA great bodhisattva.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ ནས་ སྦ་ -ས,,person-Saṃgupta,yes,Saṃgupta,"\nA buddha.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་ བགེད,,person-Sanat,yes,Sanat,"\nOne of the grahas.\nToh 543, Dharmachakra Translation Committee,v 1.21.16Sanātana\nAn epithet of Viṣṇu. Sometimes also used as an epithet of Brahmā.\nToh 747, Dharmachakra Translation Committee,v 1.0.3"
ཀུན་ བདེ,,person-—,yes,Universally Blissful,"\nA previous ruler of the Heaven of the Thirty-Three.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་བརྟགས་པ་ -འི་ ངོ་བོ་ ཉིད,,term-parikalpitasvabhāva,yes,Imaginary essence,"\nNone\nToh 106, Buddhavacana Translation Group (Vienna),v 1.0.9"
ཀུན་བརྟགས་པ་ -ར་ དགའ་བ,,place-—,yes,Joyous Imagination,"\nAlternative name of the lake Expansive.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ བཤེས,,person-Viśvāmitra,yes,Friend to All,"\nNone\nToh 563, Dharmachakra Translation Committee.,v 1.4.7"
ཀུན་མཐོང,,place-—,yes,Mirror Lake,"\nA lake in the realm of the asuras.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Sarvadarśin\nOne of the Buddha’s former rebirths.\nToh 62, Vienna Buddhist Translation Studies Group,v 1.0.2"
ཀུན་མཐོང་ མཐོ,,place-—,yes,High and Seen by Everyone,"\nA forest in Promotion.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་མཐོང་ ཡིད་འོང,,place-—,yes,Universal Delight,"\nA forest in Distinguished in Many Colorful Ways.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་འགྲོ་ མ,,person-Samantataṭī,yes,Samantataṭī,"\nOne of the vidyārājñīs dwelling with Śākyamuni in the realm of the Pure Abode.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུན་འགྲོ,,person-Ahi,yes,Ahi,"\nA righteous nāga king.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Ever-present\nA class of asuras that live on the third level, Excellent Abode.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་འབྱུང,,person-—,yes,Origin,"\nA sage.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀུན་འབྱུང་བ་ འཕགས་པ་ -འི་ བདེན་པ,,term-sam­udayārya­satya,yes,Noble truth of the origin of suffering,"\nSecond of the four noble truths.\nToh 11, Padmakara Translation Group,v 1.39.3"
ཀུན་འབྱུང་ བ་ཤེ་ -ས་པ,,term-samudaya­jñāna,yes,Knowledge of the origin of suffering,"\nSixth of the eleven aspects of knowledge.\nToh 11, Padmakara Translation Group,v 1.39.3"
ཀུན་འཛིན,,place-—,yes,All-Holding,"\nA buddha realm.\nToh 101, Dharmachakra Translation Committee,v 1.2.15"
ཀུན་རིག,,person-sarvavit,yes,Sarvavit,"\nA sage, former incarnation of the Buddha Dīpaṃkara.\nToh 99, Dharmachakra Translation Committee.,v 1.26.14"
ཀུན་ རྒྱལ་ འབེའི་ ར་ ཏིའི་ བུ,,person-Sañjayi Vairattīputra,yes,Sañjayi Vairattīputra,"\nA proponent of the doctrine of scepticism (vikṣepavāda).\nToh 207, Buddhavacana Translation Group.,v 1.1.12"
ཀུན་རྫོབ་ ཀྱི་ བདེན་པ,,term-saṃ­vṛti­satya,yes,Relative truth,"\nThis denotes the empirical aspect of reality as conventionally experienced through our perceptions, which, in contrast to ultimate reality or emptiness, is considered true only within the relative framework of our own experiences.\nToh 11, Padmakara Translation Group,v 1.39.3Conventional truth\nNone\nToh 335, Sarasvatī Translation Team,v 1.1.8"
ཀུན་རྫོབ་ བདེན་པ,,term-saṃvṛtisatya,yes,Relative truth,"\nNone\nToh 361, Vienna Buddhist Translation Studies Group,v 1.2.13"
ཀུན་ཤེས་ ཀཎྜི་ ནྱ,,person-Ājñāta­kauṇḍinya,yes,Ājñāta­kauṇḍinya,"\nAnother name for Kauṇḍinya. One of the five monks present for the first teaching of the four noble truths; on account of his realization he became known as Venerable “All-Knowing Kauṇḍinya” or “Kauṇḍinya who understood” ( Ājñāta­kauṇḍinya ).\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀུན་ཤེས་ ཀཽ་ ཎྜི་ ཉ,,person-Ājñāta­kauṇḍinya,yes,Ājñāta­kauṇḍinya,"\nNone\nToh 95, Dharmachakra Translation Committee,v 4.48.3"
ཀུན་ཤེས་ ཀཽཎྡི་ ནྱ,,person-Ājñāta­kauṇḍinya,yes,Ājñāta­kauṇḍinya,"\nSee “Kauṇḍinya.”\nToh 113, Peter Alan Roberts,v 1.2.1"
ཀུན་ཤེས་ ཀཽཎྜིནྱ,,person-ājñāta­kauṇḍinya,yes,Ājñāta­kauṇḍinya,"\n“Kauṇḍinya Who Understood.” Name of the first monk that Śākyamuni Buddha recognized as having understood his teachings.\nToh 100, Dharmachakra Translation Committee,v 1.43.12\nNone\nToh 563, Dharmachakra Translation Committee.,v 1.4.7"
ཀུན་སྣང,,place-—,yes,Universal Illumination,"\nA pleasure grove in Shaded by Garlands.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་སྣང་ དང་བ,,place-Ābhāsvara,yes,Ābhāsvara,"\nThe highest of the three paradises that correspond to the second dhyāna in the form realm. In other contexts, the Tibetan ’od gsal ba usually refers to Ābhāsvara, and the Tibetan gya nom snang ba would refer to Sudṛśa.\nToh 44-45, Peter Alan Roberts,v 0.0.8"
ཀུན་སྤངས་ ཆོས་གྲགས་ དཔལ་ བཟང,,person-—,yes,Kunpang Chödrak Palzang,"\nA great fourteenth century Jonangpa scholar, practitioner, and translator (1283–1363), who had earlier studied at Sakya, with Butön at Zhalu, and with Tharpa Lotsāwa at Sangphu, before becoming the first major disciple of Dolpopa.\nToh 674, Peter Alan Roberts and Emily Bower,v 1.1.3"
ཀུན་སྤྱོད,,place-—,yes,Action,"\nA forest in Dwelling in Forests.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུན་ སྦྱིན,,person-Sarvadada,yes,Sarvadada,"\nOne of the Buddha’s former rebirths.\nToh 62, Vienna Buddhist Translation Studies Group,v 1.0.2"
ཀུན་ སྲེག,,place-Sarvadāha,yes,Burning All,"\nA mountain range surrounding the hell of Embers Within.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀུཎྜ་ ལ་ ཧ་རི་ ཎཱི,,person-Kuṇḍalahāriṇī,yes,Kuṇḍalahāriṇī,"\nNone\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀུམ་ བྷ་ ཀ,,term-kumbhaka,yes,Kumbhaka,"\nInhalation (one of the four stages during a single breath).\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀུམ་ བྷ་ ལ,,person-Kūṣmala,yes,Kūṣmala,"\nName of a yakṣa.\nToh 543, Dharmachakra Translation Committee,v 1.21.16"
ཀུམ་ བྷི་ ར,,term-kumbhīra,yes,Kumbhīra,"\nA sea monster; a crocodile of the Ganges (Monier-Williams).\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nA yakṣa king.\nToh 59, Dharmachakra Translation Committee,v 1.1.1"
ཀེ་ ཀཱ་ པི་ ནོ,,place-Kekāpino,yes,Kekāpino,"\nA land to the west of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀེ་ཏ་ཀ,,place-Ketaka,yes,Ketaka,"\nAn island in the vicinity of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11Umbrella tree\nPandanus odoratissimus.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀེ་ཏ་ཀ་ -འི་ དྲིས་ བསྒོས་པ,,place-Ketaka,yes,Ketaka Fragrance,"\nA river on Saṅkāśa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀེ་ཏ་ཀ་ -འི་ ཕྲེང་བ་ མཆོག་ དང་ ལྡན་པ,,term-—,yes,Supreme ketaka garland bearer,"\nA class of vidyādharas.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀེ་ ཏ་ ཀོ,,place-Ketako,yes,Ketako,"\nA land in the south of Jambudvīpa.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
ཀེ་ ན་ -འི་ བུ,,person-Kaineya,yes,Kaineya,"\nA ṛṣi.\nToh 1-6, Bhaiṣajyavastu Translation Team,v 1.0.6"
ཀཻ་ ནེ་ ཡ,,person-Kaineya,yes,Kaineya,"\nA clairvoyant sage who lived with five hundred devotees in the forests of the Adumā region and spent time on the banks of Lake Mandākinī. His nephew was the sage Śaila.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22"
ཀེའུ་ ཝེར་ དུ,,person-Kauverdu,yes,Kauverdu,"\nA bodhisattva of the past.\nToh 61, Dharmachakra Translation Committee.,v 1.2.16"
ཀོ་ ཀ་ལི་ ཀ,,person-Kokālika,yes,Kokālika,"\nA monk who joined Devadatta’s plot against the Buddha.\nToh 287, Dharmachakra Translation Committee,v 1.0.11\nA Buddhist monk who sided with Devadatta and defended him when the latter’s schemes to usurp the Buddha were exposed.\nToh 307, Bruno Galasek with Lama Kunga Thartse Rinpoche,v 1.0.7\nOne of four cronies of Devadatta.\nToh 340, Dr. Lozang Jamspal (International Buddhist College, Thailand) and Kaia Tara Fischer,v 1.3.22\nDevadatta’s companion.\nToh 349, Lokākṣi Translator Group,v 1.0.3\nOne of the members of a group of four monks described in the Vinaya as followers of Devadatta that attempted to create a schism in the Buddhist saṅgha.\nToh 61, Dharmachakra Translation Committee.,v 1.2.16"
ཀོ་ ཀི་ ལ,,person-Kokila,yes,Kokila,"\nAn asura in one of the variants of the maṇḍala of Caṇḍa­mahā­roṣaṇa.\nToh 431, Dharmachakra Translation Committee,v 2.28.10"
ཀཽ་ ཊུབྷཿ,,place-Kouṭubha,yes,Kouṭubha,"\nA lake on Equal Peaks.\nToh 287, Dharmachakra Translation Committee,v 1.0.11"
